team,season,MP_team,FG_team,FGA_team,FG_per_team,3P_team,3PA_team,3P_per_team,2P_team,2PA_team,2P_per_team,FT_team,FTA_team,FT_per_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,MP_opp,FG_opp,FGA_opp,FG_per_opp,3P_opp,3PA_opp,3P_per_opp,2P_opp,2PA_opp,2P_per_opp,FT_opp,FTA_opp,FT_per_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp
ATL,2009,29,24,25,11,8,7,16,25,26,11,15,9,28,20,21,23,23,14,20,7,5,19,29,15,16,11,11,16,7,13,15,16,4,6,14,23,14,23,13,7,9,19,17,10
BOS,2009,7,9,28,2,19,21,1,13,20,2,12,11,18,21,7,9,4,7,17,28,28,11,7,1,9,1,8,13,5,1,9,2,20,22,17,6,2,2,3,12,13,9,7,3
NJN,2009,11,27,18,24,4,3,9,29,28,25,14,17,12,23,20,25,26,24,15,9,24,20,11,10,7,19,26,22,29,7,5,17,25,26,10,10,19,18,23,10,15,20,18,17
CHA,2009,2,29,30,18,23,22,15,23,21,19,26,18,27,18,25,27,10,19,14,27,20,30,2,6,4,10,16,20,14,5,3,12,10,11,4,12,4,3,6,19,30,8,13,9
CHI,2009,2,8,5,15,22,23,6,7,3,23,7,14,7,7,15,10,13,9,4,20,18,8,2,21,27,14,6,7,4,25,28,18,21,19,27,28,15,25,14,18,28,13,14,21
CLE,2009,21,14,24,6,3,5,2,24,29,8,19,15,21,18,8,7,20,15,7,6,9,13,21,2,10,2,5,12,1,4,10,3,11,9,15,13,4,4,4,4,6,18,20,1
DAL,2009,14,7,6,9,12,8,25,12,16,6,21,26,2,14,5,5,8,17,9,5,4,9,14,19,19,12,9,6,21,21,22,8,15,10,29,14,18,17,7,14,4,26,22,15
DEN,2009,27,10,22,5,16,17,13,14,18,5,2,1,20,15,12,15,6,3,2,25,26,6,27,11,18,4,27,27,15,8,13,4,26,24,24,26,7,16,19,24,27,5,2,18
DET,2009,4,22,17,20,28,28,26,8,5,22,28,27,24,10,17,16,16,29,19,2,19,28,4,5,6,8,1,2,9,11,18,7,18,17,20,8,12,10,12,1,7,29,27,8
GSW,2009,7,3,3,12,15,18,11,4,2,16,1,2,8,9,14,11,15,6,1,21,25,2,7,30,30,23,22,21,25,30,30,19,28,27,23,30,28,30,29,23,18,7,3,30
HOU,2009,14,23,21,22,7,6,10,27,24,17,17,21,5,22,2,4,22,26,24,16,2,17,14,13,17,5,4,4,11,19,27,5,2,2,1,11,9,6,8,13,23,28,16,7
IND,2009,11,4,2,19,4,4,8,11,10,18,18,23,3,12,3,2,9,20,8,19,27,5,11,21,26,15,18,18,19,22,19,11,29,29,12,19,29,28,16,21,26,15,15,26
LAC,2009,7,25,10,29,20,16,23,20,15,29,29,28,29,17,23,24,14,21,3,23,6,27,7,25,23,24,13,10,19,26,23,24,16,16,8,25,27,27,28,25,18,21,28,25
LAL,2009,21,2,4,4,17,15,19,2,6,3,11,8,14,3,6,1,2,2,10,11,17,3,21,18,24,6,24,28,3,12,16,10,9,13,2,24,11,19,26,21,14,4,8,13
MEM,2009,14,30,29,21,25,27,21,16,14,24,13,10,22,24,28,30,30,9,18,24,21,29,14,16,5,25,13,17,10,14,6,28,17,18,16,7,10,7,17,20,25,10,9,14
MIA,2009,1,13,15,16,11,9,22,17,19,12,27,24,23,26,22,28,18,5,5,3,16,18,1,8,8,13,25,18,28,6,7,9,19,20,18,17,21,21,10,6,5,6,26,12
MIL,2009,21,16,8,27,21,20,18,15,11,28,9,13,11,6,24,20,7,12,29,14,30,15,21,4,1,16,17,15,23,3,2,14,30,30,28,5,20,14,15,17,11,1,5,16
MIN,2009,14,21,7,29,18,13,24,18,13,27,22,19,15,5,18,14,17,28,28,17,22,21,14,20,13,26,13,8,22,23,17,25,23,23,22,3,22,13,20,16,29,27,24,22
NOH,2009,24,28,27,14,13,14,17,26,25,13,25,29,3,28,16,26,28,15,26,4,11,26,24,3,3,7,20,24,8,2,1,15,8,7,19,4,13,8,11,2,1,23,19,5
NYK,2009,14,5,1,28,1,1,20,28,27,15,24,22,10,13,9,8,11,11,30,18,13,4,14,29,29,28,19,24,6,29,26,30,14,15,6,22,30,29,22,26,24,11,29,28
OKC,2009,14,17,9,26,30,30,28,5,1,30,8,12,9,4,13,6,20,13,22,30,8,24,14,26,22,27,10,11,13,28,20,27,12,12,9,14,17,15,21,28,17,16,21,23
ORL,2009,27,26,26,16,2,2,7,30,30,7,10,4,30,27,1,3,29,22,6,12,10,10,27,9,20,3,2,3,2,17,29,1,6,8,3,9,25,24,2,9,2,25,6,6
PHI,2009,24,18,20,10,29,29,30,6,7,14,6,6,25,2,29,17,24,4,12,15,6,22,24,14,11,18,23,23,17,9,8,21,5,5,25,21,3,5,25,11,16,3,9,11
PHO,2009,24,1,11,1,14,19,5,1,12,1,5,5,26,16,10,12,3,18,10,29,15,1,24,27,28,22,28,26,26,24,25,20,22,21,21,27,6,12,18,30,10,14,4,27
POR,2009,11,15,23,8,9,12,4,19,22,10,20,16,17,1,27,12,19,25,13,8,12,14,11,7,2,17,7,5,18,9,11,13,7,4,30,2,1,1,5,3,3,24,12,4
SAC,2009,4,20,12,25,10,11,14,22,17,26,4,7,6,25,25,29,27,23,25,26,29,12,4,28,21,30,21,9,30,27,21,26,27,28,5,29,26,26,24,29,20,12,11,29
SAS,2009,4,12,19,7,6,10,3,21,23,9,30,30,19,30,4,18,12,30,27,1,1,23,4,12,15,9,3,1,24,18,24,6,1,1,13,1,24,11,1,8,8,30,30,2
TOR,2009,14,11,13,13,24,24,12,10,9,20,16,25,1,28,11,21,5,27,16,10,3,16,14,24,25,21,29,29,16,20,14,23,3,3,26,16,22,22,27,5,12,21,22,20
UTA,2009,7,6,16,3,27,26,26,3,4,4,3,3,13,11,19,19,1,1,21,22,23,7,7,17,12,20,12,14,12,15,12,22,24,25,11,18,8,9,9,27,21,2,1,18
WAS,2009,29,19,14,23,26,25,29,9,8,21,23,20,16,8,30,22,25,8,23,13,14,25,29,23,14,29,30,30,27,16,4,29,13,14,7,20,15,20,30,15,22,16,25,24
ATL,2010,10,6,12,11,14,15,9,8,11,11,21,23,15,6,23,17,12,15,14,1,8,13,10,13,10,16,5,7,9,16,14,16,3,6,3,20,13,15,17,2,7,20,28,10
BOS,2010,17,21,30,4,16,16,17,19,27,1,15,10,21,30,25,29,2,2,15,21,22,19,17,3,4,9,4,5,4,5,6,11,21,25,5,9,8,9,6,13,15,2,8,5
NJN,2010,17,30,24,30,27,27,29,25,9,30,11,15,6,16,29,28,30,20,19,16,10,30,17,20,9,27,3,3,27,24,22,24,15,18,6,22,26,27,28,25,21,19,23,17
CHA,2010,5,29,29,22,22,22,21,27,25,22,4,5,20,21,19,22,22,8,7,29,5,28,5,5,7,6,26,30,2,2,2,13,1,1,1,9,5,6,11,20,29,3,6,1
CHI,2010,2,18,10,23,29,29,28,3,2,26,18,20,18,12,2,1,19,24,2,15,11,24,2,12,26,3,27,28,12,9,12,4,13,14,2,18,22,22,15,13,23,24,24,13
CLE,2010,17,15,28,3,8,8,2,21,28,4,12,5,30,27,3,11,6,21,10,12,3,9,17,6,11,4,14,15,11,6,9,3,11,11,15,2,3,2,10,4,2,28,15,6
DAL,2010,5,11,14,12,10,13,5,15,15,15,16,25,1,24,10,17,3,10,6,3,1,11,5,18,19,15,16,18,10,17,19,15,7,5,16,20,23,25,9,7,5,10,21,15
DEN,2010,17,13,17,10,12,12,10,16,18,9,1,1,9,17,16,20,18,3,13,11,27,3,17,16,17,14,13,14,13,15,17,14,27,26,27,26,17,20,18,13,23,7,1,20
DET,2010,17,28,21,27,28,26,30,18,6,25,20,16,27,2,30,27,26,14,27,7,24,29,17,9,1,26,24,16,29,4,1,25,23,22,26,5,9,4,25,5,16,15,16,14
GSW,2010,26,2,1,8,7,7,4,5,7,10,5,11,4,29,27,30,5,1,25,19,30,2,26,30,29,29,23,16,28,30,29,26,30,30,25,30,29,30,29,26,17,1,10,30
HOU,2010,2,16,3,26,5,4,15,24,22,23,14,13,10,5,21,13,11,18,26,17,17,8,2,25,20,23,8,4,24,28,26,23,14,13,22,12,24,23,16,19,30,9,2,22
IND,2010,29,22,11,28,4,3,18,29,26,24,13,14,8,28,6,19,15,17,8,25,28,16,29,19,25,13,10,9,21,19,27,5,29,29,14,28,30,29,13,28,18,8,14,23
LAC,2010,29,25,22,20,19,14,27,20,19,19,28,26,26,13,17,14,9,23,3,28,2,27,29,21,18,21,18,12,22,21,24,21,12,12,20,13,16,13,27,29,9,26,27,19
