team,season,MP_team,FG_team,FGA_team,FG_per_team,3P_team,3PA_team,3P_per_team,2P_team,2PA_team,2P_per_team,FT_team,FTA_team,FT_per_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,MP_opp,FG_opp,FGA_opp,FG_per_opp,3P_opp,3PA_opp,3P_per_opp,2P_opp,2PA_opp,2P_per_opp,FT_opp,FTA_opp,FT_per_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp
HOU,2012,3,7,3,14,9,10,9,14,12,14,24,28,3,14,17,15,12,18,20,14,22,9,3,20,20,23,4,6,3,26,23,24,19,17,27,12,13,14,10,9,19,13,25,19
IND,2012,8,22,16,24,19,22,6,19,11,28,2,3,3,6,10,4,29,15,9,7,28,13,8,8,12,6,21,22,16,5,9,6,24,25,2,24,12,17,6,3,27,10,4,10
LAC,2012,10,13,17,10,5,5,12,22,26,7,21,10,29,8,27,22,13,6,22,2,25,14,10,5,1,14,26,24,27,2,1,12,27,27,8,6,5,2,16,2,5,16,5,13
LAL,2012,3,14,22,8,23,19,26,8,13,6,8,9,16,9,1,2,7,30,11,20,1,15,3,22,30,9,23,25,14,22,28,7,1,1,6,19,7,9,23,28,8,30,10,15
MEM,2012,16,16,12,16,27,28,25,2,2,22,10,13,13,5,26,16,24,1,12,14,19,20,16,4,3,12,13,13,11,4,4,13,21,22,25,12,8,7,4,16,22,1,18,5
MIA,2012,6,12,26,4,20,23,10,6,14,4,6,8,7,24,12,21,21,3,10,23,14,7,6,7,8,5,29,27,26,1,5,5,8,12,1,10,3,1,8,26,3,3,8,4
MIL,2012,28,4,2,20,15,17,16,9,7,20,15,19,8,7,20,12,3,7,15,10,13,5,28,18,23,16,19,21,17,20,19,15,25,23,29,27,25,27,22,11,6,4,17,22
MIN,2012,16,21,11,27,11,6,23,26,24,23,4,5,10,10,8,5,24,26,24,21,7,10,16,29,29,22,9,12,7,29,29,21,9,8,17,20,24,23,21,26,24,27,3,25
NOH,2012,16,24,29,13,30,30,22,13,9,17,20,21,15,20,19,24,16,21,21,27,21,29,16,8,5,13,15,28,2,9,2,23,17,16,21,16,4,4,17,19,26,23,22,8
NYK,2012,16,20,20,18,4,2,21,27,29,8,7,7,22,15,18,18,18,2,27,29,24,11,16,10,6,10,24,20,23,7,6,9,23,24,3,8,16,15,3,24,18,2,2,11
OKC,2012,8,11,25,3,12,12,11,15,27,2,1,2,1,19,3,6,30,16,1,30,23,3,8,16,28,4,14,17,9,16,27,4,22,21,28,29,1,12,9,25,13,19,11,17
ORL,2012,10,26,27,22,1,1,3,30,30,16,28,12,30,16,12,13,20,25,28,18,5,21,10,12,9,15,12,11,13,11,12,15,5,4,30,1,17,13,12,9,2,29,13,7
PHI,2012,23,9,5,15,24,25,8,4,3,25,30,30,21,22,6,7,10,14,13,1,4,22,23,3,11,3,3,2,6,10,21,3,6,6,14,5,29,25,7,1,12,21,30,3
PHO,2012,30,5,9,6,13,15,17,11,15,5,19,21,14,21,16,19,6,27,5,9,9,8,30,24,24,21,7,5,18,27,25,18,13,10,24,25,20,22,19,23,4,20,15,21
POR,2012,10,18,13,17,9,8,14,23,22,15,11,18,2,18,22,25,17,11,18,11,11,16,10,21,14,26,21,15,25,21,13,26,10,9,10,14,18,17,18,11,11,11,14,18
SAC,2012,23,6,1,26,18,14,29,5,4,18,12,11,24,2,24,10,26,5,17,13,15,6,23,30,27,30,20,18,21,30,24,30,16,14,23,28,26,28,30,16,29,7,12,30
SAS,2012,16,1,7,1,2,7,1,10,21,3,18,17,19,25,5,9,4,20,24,3,3,2,16,25,25,17,11,10,19,25,26,14,2,2,18,3,15,11,5,5,16,24,21,16
TOR,2012,10,27,28,23,21,20,19,24,20,24,17,20,12,23,9,17,14,28,19,21,30,28,10,2,2,8,8,16,5,3,3,10,30,30,7,2,11,6,11,4,14,28,26,9
UTA,2012,1,3,4,9,28,29,27,1,1,12,5,4,17,3,14,3,11,8,4,12,29,4,1,15,13,18,17,22,8,13,10,22,29,29,16,11,10,10,15,7,23,15,7,23
WAS,2012,28,17,6,21,25,20,28,7,6,21,26,24,26,12,21,20,27,13,2,24,26,22,28,17,15,18,16,14,15,19,14,19,26,26,19,26,18,24,20,18,7,8,23,20
ATL,2013,7,12,21,7,5,5,7,22,26,8,28,27,26,27,11,23,2,14,23,21,3,14,7,18,20,13,20,14,28,16,20,9,3,3,26,21,26,25,15,25,6,9,25,13
BOS,2013,11,17,28,6,25,26,15,9,17,9,19,22,6,30,12,29,12,11,22,13,27,18,11,8,15,7,10,13,4,10,15,8,23,26,8,22,24,23,11,15,10,8,18,12
BRK,2013,7,26,27,13,9,8,17,28,25,13,11,7,24,5,21,10,27,19,18,17,4,17,7,16,9,23,4,3,21,23,21,20,1,1,1,7,2,3,8,9,12,26,5,6
CHA,2013,16,30,20,30,27,27,27,24,11,30,4,5,18,16,28,27,29,22,6,8,10,26,16,27,17,27,30,28,29,19,7,26,11,14,9,25,25,27,30,2,30,21,6,29
CHI,2013,12,27,14,25,29,29,21,14,6,28,17,19,9,6,14,8,8,23,15,10,12,29,12,4,8,9,2,1,5,16,24,5,14,18,6,11,10,9,1,6,22,23,17,3
CLE,2013,26,20,6,29,17,17,23,18,9,26,13,15,14,7,30,22,26,17,29,7,26,19,26,20,6,30,16,15,25,20,6,28,26,28,6,9,15,15,28,11,29,9,16,25
DAL,2013,1,3,8,8,12,14,6,5,10,10,20,25,2,26,6,16,5,16,8,5,23,8,1,17,23,12,26,25,17,11,17,13,29,29,15,27,29,29,13,30,5,17,24,27
DEN,2013,3,1,2,4,20,19,25,1,3,4,6,3,28,1,10,2,3,2,3,27,21,1,3,22,29,11,29,29,20,13,19,12,15,21,2,30,6,10,25,18,28,3,4,23
DET,2013,16,21,23,14,22,24,18,17,15,19,22,12,29,8,20,13,22,26,16,25,13,22,16,15,12,21,15,16,18,15,8,22,20,17,25,17,11,14,17,26,21,22,15,18
GSW,2013,16,6,9,11,8,13,1,16,14,18,14,18,4,22,1,3,15,27,27,23,29,7,16,14,25,4,27,30,7,8,12,11,24,25,11,16,20,20,24,21,15,24,20,19
HOU,2013,21,9,10,9,2,2,9,29,29,6,3,4,17,17,7,7,6,9,24,30,18,2,21,26,28,17,28,27,22,21,22,16,17,12,29,5,12,11,18,28,26,14,9,28
IND,2013,30,29,25,26,16,15,22,27,20,24,7,8,19,4,5,1,28,24,4,26,14,23,30,2,16,1,1,2,1,7,27,1,9,8,23,19,8,8,2,10,20,25,3,2
LAC,2013,26,4,24,4,10,9,16,10,23,2,18,9,27,15,17,18,4,1,7,14,24,9,26,3,3,10,23,18,26,1,2,6,25,24,13,10,1,2,14,8,4,1,7,4
LAL,2013,24,16,22,10,4,3,19,26,27,7,2,1,30,14,2,4,17,25,14,22,2,6,24,30,30,14,18,20,14,29,29,14,2,2,3,23,14,19,23,29,13,29,1,22
MEM,2013,16,23,18,21,30,30,24,3,1,25,16,16,10,3,24,11,24,4,12,5,17,27,16,1,1,3,3,6,2,2,4,3,7,10,12,3,4,1,4,6,19,6,13,1
MIA,2013,4,5,30,1,3,6,2,19,28,1,12,10,16,28,16,30,7,3,10,4,8,5,4,6,10,6,21,24,11,4,5,10,8,7,27,20,5,5,5,17,1,5,10,5
MIL,2013,12,7,1,28,13,11,14,12,2,27,26,23,22,2,13,5,9,8,2,9,9,12,12,23,24,15,7,9,8,28,28,14,21,19,20,29,30,30,21,18,9,2,22,20
MIN,2013,26,25,13,24,28,21,30,13,12,16,5,6,21,11,19,14,16,5,19,20,6,20,26,21,13,24,13,11,23,22,16,23,4,5,14,4,18,16,16,20,24,4,2,15
NOH,2013,21,24,26,15,19,22,11,20,18,21,25,26,8,10,26,17,23,30,11,12,19,25,21,13,4,26,24,19,27,9,3,27,13,11,19,2,6,4,22,16,25,27,27,14
NYK,2013,26,19,16,18,1,1,5,30,30,11,21,20,13,19,25,26,30,12,30,1,15,11,26,5,2,19,25,25,15,3,1,23,18,16,16,1,19,11,3,1,3,11,19,7
OKC,2013,12,8,29,3,14,16,3,11,21,5,1,2,1,25,3,6,21,9,1,27,16,3,12,9,27,2,16,22,6,5,23,2,16,13,28,28,3,6,6,22,2,13,8,9
ORL,2013,21,10,4,17,24,18,29,2,7,14,29,30,15,19,9,12,10,29,25,11,11,24,21,24,22,22,19,21,16,24,18,25,12,15,4,8,23,21,27,5,18,30,29,24
PHI,2013,24,14,7,22,21,25,13,7,5,23,30,29,25,18,15,20,11,18,20,2,5,30,24,12,11,16,9,12,9,18,13,19,10,9,21,14,27,26,19,4,13,19,30,9
PHO,2013,16,13,3,23,26,23,28,4,4,22,27,28,20,12,23,18,14,15,13,29,22,21,16,25,18,25,12,4,30,27,26,21,22,20,18,24,21,22,19,24,17,7,28,26
POR,2013,7,18,11,16,6,4,20,25,24,12,23,24,6,23,18,24,18,28,26,16,7,15,7,29,19,29,6,10,3,30,25,29,6,6,24,11,17,17,26,26,8,28,26,21
SAC,2013,12,11,4,19,11,10,12,15,13,20,10,13,11,13,29,25,25,13,28,15,25,10,12,28,21,28,22,23,13,26,13,29,28,27,30,26,22,24,29,11,27,15,14,30
SAS,2013,4,2,19,2,7,7,4,6,22,3,15,21,3,29,4,21,1,6,9,17,1,4,4,19,26,8,5,5,12,25,30,4,5,4,22,18,16,18,8,23,16,12,23,11
TOR,2013,1,21,17,20,15,12,26,21,19,15,8,14,5,24,26,28,20,21,17,3,30,16,1,10,5,18,8,7,19,11,9,18,30,30,10,6,13,13,12,3,11,20,12,17
UTA,2013,4,15,12,12,23,28,8,8,8,17,9,11,12,9,22,14,13,7,5,19,28,13,4,11,7,20,11,8,24,14,11,17,27,23,17,11,9,7,7,14,23,16,11,15
WAS,2013,7,28,15,27,18,20,10,23,15,29,24,16,23,21,7,9,19,20,21,24,20,28,7,7,14,5,14,17,9,6,10,7,18,22,5,14,28,28,10,13,7,18,21,8
ATL,2014,15,18,24,13,5,2,13,27,27,8,18,22,6,29,18,28,2,9,26,24,7,15,15,23,19,21,15,15,20,19,17,19,7,7,4,16,25,24,24,26,12,10,20,15
BOS,2014,29,23,10,28,20,18,28,19,12,26,24,27,10,7,24,18,22,23,23,27,19,26,29,17,11,23,5,4,5,24,19,22,19,17,21,12,14,13,16,11,13,18,28,13
BRK,2014,7,29,29,12,10,10,11,30,28,9,10,10,18,28,28,29,24,4,28,12,21,21,7,7,4,17,17,17,23,6,3,17,21,21,19,21,13,18,11,10,9,6,11,11
CHA,2014,6,25,21,25,25,27,23,14,8,27,14,11,24,25,7,16,16,29,8,1,1,23,6,10,16,6,19,16,24,9,15,5,2,2,18,1,28,21,9,2,21,28,9,4
CHI,2014,4,30,27,30,26,28,24,26,13,30,12,15,7,11,9,10,10,21,7,18,4,30,4,2,9,2,3,3,8,7,20,2,3,3,9,13,6,7,2,14,28,16,10,1
CLE,2014,4,19,8,27,18,20,18,16,5,29,17,18,20,6,14,11,20,24,29,10,11,22,4,16,20,12,30,30,22,8,5,13,8,8,16,5,22,15,28,6,27,24,24,16
DAL,2014,15,2,11,4,8,12,2,10,19,6,20,23,3,22,23,26,6,5,21,3,10,8,15,14,10,22,22,24,15,13,7,26,20,19,17,24,10,16,15,17,4,5,21,20
DEN,2014,25,11,5,19,11,9,15,17,15,16,8,5,27,4,8,2,12,18,4,28,30,9,25,26,27,15,11,10,7,27,27,14,29,28,22,23,23,26,19,27,24,16,7,28
DET,2014,22,8,4,20,27,22,29,2,2,13,16,6,30,1,22,3,24,8,13,13,12,14,22,25,15,27,23,23,21,20,12,29,15,16,13,20,18,19,27,25,18,12,12,27
GSW,2014,15,3,6,9,2,6,4,13,20,10,26,24,19,17,2,5,7,13,10,22,22,10,15,9,22,4,8,9,3,16,25,3,23,20,25,14,24,20,8,22,10,11,26,10
HOU,2014,15,15,26,5,1,1,16,25,30,2,1,1,28,15,3,4,18,17,3,29,15,2,15,24,29,7,20,25,9,21,26,7,10,11,15,28,3,8,17,28,26,22,1,23
IND,2014,22,28,28,17,22,25,17,23,18,22,13,16,8,23,1,8,27,27,5,19,13,24,22,1,14,1,3,5,4,5,23,1,6,6,11,9,7,5,1,8,14,26,6,2
LAC,2014,25,4,17,3,13,8,22,11,24,3,3,2,26,21,10,14,3,6,12,7,20,1,25,13,23,5,9,14,1,18,21,10,22,22,12,29,11,25,25,3,3,7,3,14
LAL,2014,30,13,7,14,2,7,3,24,21,19,19,20,17,27,15,25,4,19,5,21,9,11,30,30,30,25,20,22,17,30,29,25,12,14,2,30,30,30,29,30,16,19,27,29
MEM,2014,20,14,22,7,30,30,19,1,1,11,30,29,23,9,21,19,14,14,16,4,5,27,20,3,3,9,13,11,12,4,6,11,5,4,27,2,1,1,4,7,19,20,29,3
MIA,2014,7,12,30,1,14,15,12,12,29,1,15,17,14,30,30,30,11,2,18,16,8,12,7,6,2,16,24,26,18,2,2,20,9,10,5,17,2,2,12,23,1,2,16,5
MIL,2014,7,26,20,26,23,24,20,22,11,28,21,19,21,8,29,24,17,28,11,20,18,28,7,22,12,25,26,19,30,15,10,22,17,18,6,26,17,23,22,20,20,21,14,25
MIN,2014,10,7,1,23,17,16,26,5,4,20,2,3,9,2,13,6,5,3,30,8,3,3,10,29,26,29,18,18,19,28,24,28,1,1,14,19,26,28,23,21,23,3,2,26
NOP,2014,10,17,17,11,29,29,6,4,3,17,11,12,11,13,25,22,19,12,1,6,27,18,10,12,5,24,14,20,13,11,4,27,28,29,8,15,8,9,20,4,29,15,19,19
NYK,2014,10,20,19,16,7,5,7,29,26,13,28,28,13,20,27,27,28,14,18,2,24,20,10,4,1,19,28,27,27,1,1,18,25,23,24,6,15,10,3,1,2,14,22,8
OKC,2014,20,6,15,6,15,14,14,8,22,5,5,8,2,18,6,6,13,10,2,25,28,5,20,8,18,3,27,28,14,3,9,4,18,25,1,18,4,3,13,24,5,9,18,12
ORL,2014,2,22,14,21,21,21,21,15,10,25,25,26,12,24,12,21,22,16,22,17,16,25,2,20,21,13,16,13,26,17,18,12,13,12,29,10,27,27,21,5,22,23,30,17
PHI,2014,10,16,2,29,19,13,30,7,6,21,22,14,29,10,19,15,15,1,25,30,25,19,10,28,24,28,29,29,25,23,13,30,30,30,10,27,29,29,30,29,30,1,15,30
PHO,2014,25,10,12,8,6,4,8,21,25,7,9,9,16,14,16,13,29,7,17,26,23,7,25,19,17,14,6,8,2,24,22,16,27,26,28,22,12,16,5,12,8,8,8,21
POR,2014,10,5,3,15,4,3,10,18,17,15,7,13,1,3,4,1,9,30,14,5,6,4,10,27,28,11,2,2,11,29,30,8,11,9,26,25,19,22,7,19,6,30,13,22
SAC,2014,15,21,16,18,28,26,27,6,7,17,4,4,15,5,11,9,30,22,27,23,26,17,15,18,13,20,25,21,29,12,11,15,26,27,3,3,9,6,26,18,24,27,4,24
SAS,2014,25,1,13,2,12,16,1,3,14,4,27,30,4,26,4,12,1,20,9,11,2,6,25,14,25,8,1,1,10,26,28,6,4,5,20,11,15,12,6,15,15,25,25,6
TOR,2014,2,24,23,22,9,11,9,28,23,23,6,7,5,12,20,17,21,25,23,9,29,13,2,5,6,10,7,6,16,10,14,9,24,24,7,8,5,4,10,9,11,13,5,7
UTA,2014,22,27,25,24,24,23,25,20,16,24,23,21,22,16,26,23,26,26,20,14,17,29,22,21,8,30,10,7,28,22,16,24,16,15,30,7,21,14,14,13,17,29,17,18
WAS,2014,1,9,9,10,16,19,5,8,9,12,29,25,25,19,17,20,8,11,15,15,13,16,1,11,7,18,12,12,5,14,8,21,14,13,23,4,20,11,18,16,7,4,23,9
ATL,2015,26,10,27,4,5,7,2,26,28,4,19,24,5,30,22,28,2,5,15,16,1,10,26,8,12,6,29,30,7,2,2,13,3,2,28,24,14,18,24,8,18,6,20,5
BOS,2015,8,5,1,21,13,13,27,7,11,14,28,27,14,12,11,13,4,8,30,10,20,13,8,23,23,17,9,10,4,24,24,18,19,17,20,13,25,26,14,6,21,10,26,21
BRK,2015,3,18,17,16,24,20,26,9,12,12,18,18,20,24,17,22,20,23,25,10,11,21,3,26,20,22,25,24,23,16,14,22,4,9,2,21,19,23,27,17,11,20,18,18
CHO,2015,6,26,10,29,26,24,30,17,5,29,13,15,19,26,6,10,28,30,7,1,2,28,6,9,18,8,15,11,22,10,20,7,6,4,30,1,30,21,15,1,23,27,9,7
CHI,2015,8,23,18,22,15,16,10,22,19,23,3,4,3,6,7,3,14,28,5,12,4,15,8,16,29,4,3,3,3,27,29,2,5,8,15,27,9,14,5,12,25,29,6,9
CLE,2015,23,15,24,8,4,2,5,28,29,7,9,12,18,11,21,18,10,19,25,17,5,8,23,22,16,20,13,15,9,21,15,24,1,1,11,12,4,3,30,15,10,22,11,13
DAL,2015,8,2,8,5,7,8,13,11,20,3,15,16,16,20,23,23,8,10,20,4,15,3,8,21,21,16,30,28,27,11,8,14,16,14,19,30,26,29,17,7,4,4,2,25
DEN,2015,8,13,2,26,13,12,28,16,13,22,8,8,24,3,12,7,13,14,21,15,30,12,8,27,19,25,10,12,12,26,22,25,30,30,13,17,28,27,20,10,29,14,10,27
DET,2015,18,20,6,27,9,11,17,23,17,25,26,17,29,2,16,4,16,16,13,8,7,18,18,17,13,20,14,8,21,17,17,20,11,5,29,11,22,20,28,5,15,18,24,14
GSW,2015,26,1,3,1,2,4,1,10,21,2,23,26,9,23,4,6,1,4,2,18,13,1,26,10,27,1,6,7,5,15,28,1,25,24,27,27,18,24,9,25,2,5,27,15
HOU,2015,20,21,12,20,1,1,14,29,30,5,5,2,27,7,18,14,9,3,10,28,27,6,20,15,25,12,8,18,1,21,23,17,20,19,17,29,13,19,12,29,22,3,7,17
IND,2015,13,24,15,23,17,18,12,19,15,24,16,18,13,21,3,5,18,29,17,14,22,24,13,3,8,3,5,6,11,9,21,3,21,21,18,2,20,10,2,13,14,26,4,4
LAC,2015,26,3,13,2,3,5,3,18,26,1,7,4,28,28,10,20,3,15,9,2,24,2,26,7,7,11,23,25,15,5,5,12,28,28,5,9,16,13,21,2,1,15,3,16
LAL,2015,3,19,9,25,25,25,17,12,3,27,12,11,23,8,13,12,21,22,22,5,21,19,3,28,13,29,26,23,26,18,8,29,29,29,9,6,27,22,29,10,17,24,23,29
MEM,2015,6,14,23,9,29,29,22,1,2,19,10,14,7,21,15,21,15,6,24,7,9,20,6,4,5,10,18,21,18,3,6,10,2,2,7,8,11,8,4,8,20,8,15,2
MIA,2015,26,28,30,11,21,19,24,24,25,9,11,10,22,29,28,30,30,13,18,21,14,27,26,5,1,19,19,20,20,4,1,23,13,16,1,14,2,2,11,18,8,11,8,6
MIL,2015,3,16,26,7,23,26,7,6,8,16,24,25,12,17,25,24,7,1,11,29,28,22,3,1,4,5,20,26,8,1,3,9,22,22,6,22,7,12,18,27,16,1,17,8
MIN,2015,20,25,16,24,30,30,25,3,1,26,2,3,6,9,30,27,16,9,27,23,10,23,20,30,22,30,26,22,28,30,18,30,7,6,25,26,12,17,25,26,26,9,5,30
NOP,2015,23,11,19,10,19,23,4,12,9,21,20,20,17,10,19,16,11,25,1,6,6,16,23,18,11,23,2,3,2,28,26,21,12,10,24,10,5,5,8,3,28,28,29,11
NYK,2015,13,29,25,28,20,21,15,25,14,28,29,29,8,18,29,29,19,24,14,20,25,30,13,10,3,27,24,13,30,8,4,19,27,27,25,15,17,16,13,23,7,17,25,21
OKC,2015,18,6,4,18,16,14,23,4,7,17,6,6,14,1,2,1,25,21,6,19,29,5,18,14,26,9,21,27,10,13,16,11,23,23,10,19,8,10,15,15,12,21,12,24
ORL,2015,25,17,20,14,22,22,16,12,10,17,30,30,25,25,24,25,23,12,29,22,19,25,25,19,6,28,22,16,29,14,7,26,14,13,16,7,21,15,23,14,24,12,30,23
PHI,2015,20,30,22,30,11,6,29,30,27,30,22,9,30,5,26,19,24,1,4,30,26,29,20,13,9,15,17,17,17,12,10,16,24,25,21,23,29,30,26,30,27,2,16,20
PHO,2015,8,7,6,15,10,10,21,15,18,10,21,21,11,13,14,17,27,6,12,25,23,11,8,25,24,18,11,9,19,23,25,15,26,26,23,25,24,28,10,20,5,7,14,26
POR,2015,13,8,5,17,6,3,8,21,22,11,27,28,1,16,1,2,12,27,18,9,2,9,13,24,30,7,1,2,6,29,30,5,8,7,22,18,23,25,6,21,3,30,28,11
SAC,2015,13,22,28,13,28,28,20,5,6,20,1,1,10,14,9,9,26,26,28,27,16,14,13,29,28,24,28,29,16,25,19,27,17,15,13,15,3,4,22,28,30,25,1,28
SAS,2015,1,4,11,3,12,15,6,8,16,5,17,23,4,27,8,15,5,11,8,13,8,7,1,12,17,13,4,1,24,20,27,6,9,11,11,4,15,7,7,19,9,16,19,3
TOR,2015,13,11,14,12,8,9,11,20,23,8,4,7,2,15,27,26,22,18,23,3,18,4,13,20,10,26,11,14,13,18,12,28,14,18,3,20,6,9,19,4,19,13,13,19
UTA,2015,30,27,29,19,18,17,19,27,24,15,14,13,26,4,20,11,29,16,3,26,12,26,30,2,2,14,7,5,25,7,11,8,10,12,8,3,1,1,1,24,13,23,22,1
WAS,2015,1,9,21,6,27,27,9,2,4,13,25,22,21,19,5,8,6,20,16,24,17,17,1,6,15,2,16,19,14,6,12,4,18,20,4,5,10,6,3,21,6,19,21,10
ATL,2016,11,9,15,11,6,7,15,19,24,7,29,30,8,30,13,24,2,3,5,22,7,12,11,7,26,1,13,16,6,5,20,1,8,7,13,27,25,28,15,23,14,5,29,6
BOS,2016,23,7,1,24,12,11,28,12,10,19,8,12,6,3,15,6,6,2,22,12,29,5,23,10,20,7,7,11,4,15,22,11,27,28,14,24,22,26,6,14,24,2,10,13
BRK,2016,26,17,17,13,26,27,13,8,3,22,27,27,18,14,25,23,15,19,25,19,2,26,26,30,22,30,27,25,24,26,14,30,2,1,22,14,14,12,27,27,18,16,28,24
CHO,2016,9,24,16,27,4,4,8,30,28,24,7,11,5,28,4,14,19,22,12,1,3,11,9,12,18,12,18,23,14,7,15,14,3,4,25,2,29,22,23,2,21,21,14,9
CHI,2016,3,11,2,22,21,24,3,11,2,29,23,26,7,9,3,3,12,29,8,13,5,21,3,25,30,7,11,8,10,27,30,8,4,8,3,29,20,25,19,19,27,29,26,16
CLE,2016,9,8,19,9,2,3,7,24,29,4,26,24,21,12,11,9,13,28,27,10,14,8,9,6,5,14,9,7,13,7,12,15,10,11,5,5,8,5,8,7,7,24,12,4
DAL,2016,1,22,18,20,7,5,23,26,27,12,12,21,3,26,9,19,18,26,29,2,8,16,1,14,18,15,22,26,9,11,5,19,11,12,4,16,26,24,14,11,8,18,8,14
DEN,2016,11,21,12,21,20,18,26,15,15,20,10,10,14,6,19,8,14,20,16,18,23,20,11,19,12,21,23,18,27,14,10,17,19,19,20,9,11,9,25,20,30,20,11,22
DET,2016,5,18,5,25,10,10,22,18,18,23,20,5,30,2,11,2,27,24,30,9,6,19,5,19,11,22,2,2,16,28,26,16,5,3,28,1,16,8,9,4,9,22,5,12
GSW,2016,5,1,3,1,1,1,1,16,26,1,22,23,16,21,1,4,1,9,2,24,19,1,5,21,29,3,6,13,2,25,29,4,22,23,17,25,9,15,16,24,3,15,19,19
HOU,2016,11,20,23,14,3,2,19,28,30,4,3,1,27,7,27,20,16,1,13,27,28,4,11,22,21,19,28,29,21,12,4,24,23,24,15,30,10,21,29,29,13,1,1,25
IND,2016,5,15,13,17,18,20,14,13,13,17,14,17,15,17,10,12,22,4,17,20,11,17,5,9,16,6,13,19,3,9,17,13,14,13,11,17,19,20,4,16,9,7,13,8
LAC,2016,11,16,25,6,8,9,6,20,25,6,11,4,29,29,17,25,11,7,10,3,24,7,11,5,15,2,8,10,5,6,19,3,24,25,10,28,24,29,7,4,1,9,2,7
LAL,2016,28,30,14,30,22,13,30,27,17,30,6,8,11,11,24,21,30,23,24,11,13,30,28,28,24,29,15,17,11,30,18,29,13,16,1,20,28,27,30,11,25,28,24,27
MEM,2016,11,26,22,23,27,25,29,10,4,27,5,9,9,8,30,28,25,6,21,6,27,24,11,3,1,18,29,28,22,1,1,23,28,26,24,12,12,11,13,3,29,3,9,11
MIA,2016,11,13,27,4,28,28,27,4,9,8,18,14,23,22,6,13,23,27,1,14,4,23,11,8,13,9,3,3,12,19,24,6,7,5,27,10,6,6,2,10,4,27,20,5
MIL,2016,11,14,26,5,30,30,21,2,1,13,21,18,22,15,29,27,9,13,7,25,17,25,11,11,6,17,25,27,15,4,2,21,21,20,23,26,7,10,28,22,26,8,21,17
MIN,2016,5,19,29,7,29,29,25,5,5,11,1,2,4,20,28,29,8,14,19,23,18,15,5,27,16,28,21,24,17,24,11,28,12,9,18,17,3,7,20,17,17,13,7,23
NOP,2016,23,12,8,19,15,16,9,14,14,20,16,22,13,23,20,22,17,16,23,8,22,13,23,24,10,27,23,22,25,20,9,27,25,22,29,3,27,19,21,9,15,19,17,26
NYK,2016,19,25,21,26,24,23,20,16,12,28,17,25,1,16,7,10,26,30,9,7,10,27,19,13,25,10,4,6,7,22,25,9,15,15,12,19,15,16,3,6,5,30,27,10
OKC,2016,11,2,7,3,17,17,17,3,11,2,4,7,10,1,2,1,10,21,4,26,16,2,11,16,27,5,12,14,8,21,28,7,18,18,16,22,1,2,10,26,11,26,15,15
ORL,2016,3,5,4,12,23,22,16,7,6,14,30,29,17,18,21,17,7,12,15,14,19,18,3,16,7,20,19,20,19,13,6,22,17,21,6,13,21,18,21,13,21,11,30,18
PHI,2016,19,28,20,29,9,8,24,29,23,25,28,19,28,24,26,30,20,10,3,29,25,29,19,26,23,25,5,4,20,29,27,19,30,29,30,21,30,30,24,25,28,10,25,29
PHO,2016,29,23,11,28,11,12,18,21,19,26,13,13,20,5,15,7,24,17,28,30,30,22,29,23,9,26,26,20,30,17,8,25,29,30,9,11,18,13,17,30,23,12,6,28
POR,2016,19,10,8,16,5,6,4,22,21,15,15,14,19,4,8,5,21,25,18,17,26,6,19,15,14,16,15,9,26,18,21,12,26,27,2,15,13,13,11,15,16,25,22,20
SAC,2016,19,4,6,8,19,21,10,6,8,10,9,6,26,13,14,11,4,5,20,28,15,3,19,29,28,24,30,30,23,22,16,26,16,14,21,23,17,23,26,28,19,6,4,30
SAS,2016,29,3,24,2,25,26,2,1,7,3,25,28,2,25,5,15,3,11,6,4,1,10,29,2,3,4,1,1,1,10,23,2,1,2,19,4,5,3,4,8,2,14,22,1
TOR,2016,23,27,28,15,14,19,5,23,20,18,2,3,12,19,18,16,29,15,11,5,9,14,23,4,4,11,17,12,29,3,7,5,6,6,8,8,4,4,12,1,20,23,3,3
UTA,2016,2,29,30,18,16,15,12,25,22,16,19,16,24,10,23,18,28,18,14,21,12,28,2,1,2,13,10,5,18,2,3,10,9,9,7,6,2,1,1,18,12,17,18,2
WAS,2016,26,6,10,9,13,14,11,9,16,9,24,20,25,27,22,26,5,8,26,16,21,9,26,18,8,23,20,15,27,16,13,17,20,17,26,7,23,17,18,21,6,4,16,21
ATL,2017,4,23,22,18,20,16,23,18,17,14,13,5,28,14,10,9,10,7,14,28,6,22,4,13,23,5,28,29,16,6,9,6,4,4,16,22,15,16,19,29,22,2,3,10
BOS,2017,25,21,18,16,3,3,14,28,28,8,10,15,3,22,22,27,4,18,23,8,21,7,25,12,15,9,7,14,2,14,13,19,25,25,9,25,20,25,12,17,23,17,11,15
BRK,2017,25,25,17,24,6,4,26,25,25,11,4,7,9,26,1,10,20,21,18,29,25,12,25,29,30,18,20,17,21,29,30,10,26,26,15,27,29,29,16,30,30,21,9,29
CHO,2017,10,26,15,26,11,9,18,22,21,27,5,10,1,26,4,16,11,27,17,1,1,16,10,18,21,15,30,30,25,7,5,21,1,1,21,3,26,22,28,2,28,23,15,13
