,id,day,month,year,home_team,team,opponent,url
0,0,28,10,2014,1,NOP,ORL,https://www.basketball-reference.com/boxscores/201410280NOP.html
1,1,28,10,2014,0,ORL,NOP,https://www.basketball-reference.com/boxscores/201410280NOP.html
2,2,28,10,2014,1,SAS,DAL,https://www.basketball-reference.com/boxscores/201410280SAS.html
3,3,28,10,2014,0,DAL,SAS,https://www.basketball-reference.com/boxscores/201410280SAS.html
4,4,28,10,2014,1,LAL,HOU,https://www.basketball-reference.com/boxscores/201410280LAL.html
5,5,28,10,2014,0,HOU,LAL,https://www.basketball-reference.com/boxscores/201410280LAL.html
6,6,29,10,2014,1,CHO,MIL,https://www.basketball-reference.com/boxscores/201410290CHO.html
7,7,29,10,2014,0,MIL,CHO,https://www.basketball-reference.com/boxscores/201410290CHO.html
8,8,29,10,2014,1,IND,PHI,https://www.basketball-reference.com/boxscores/201410290IND.html
9,9,29,10,2014,0,PHI,IND,https://www.basketball-reference.com/boxscores/201410290IND.html
10,10,29,10,2014,1,TOR,ATL,https://www.basketball-reference.com/boxscores/201410290TOR.html
11,11,29,10,2014,0,ATL,TOR,https://www.basketball-reference.com/boxscores/201410290TOR.html
12,12,29,10,2014,1,MIA,WAS,https://www.basketball-reference.com/boxscores/201410290MIA.html
13,13,29,10,2014,0,WAS,MIA,https://www.basketball-reference.com/boxscores/201410290MIA.html
14,14,29,10,2014,1,BOS,BRK,https://www.basketball-reference.com/boxscores/201410290BOS.html
15,15,29,10,2014,0,BRK,BOS,https://www.basketball-reference.com/boxscores/201410290BOS.html
16,16,29,10,2014,1,NYK,CHI,https://www.basketball-reference.com/boxscores/201410290NYK.html
17,17,29,10,2014,0,CHI,NYK,https://www.basketball-reference.com/boxscores/201410290NYK.html
18,18,29,10,2014,1,MEM,MIN,https://www.basketball-reference.com/boxscores/201410290MEM.html
19,19,29,10,2014,0,MIN,MEM,https://www.basketball-reference.com/boxscores/201410290MEM.html
20,20,29,10,2014,1,DEN,DET,https://www.basketball-reference.com/boxscores/201410290DEN.html
21,21,29,10,2014,0,DET,DEN,https://www.basketball-reference.com/boxscores/201410290DEN.html
22,22,29,10,2014,1,UTA,HOU,https://www.basketball-reference.com/boxscores/201410290UTA.html
23,23,29,10,2014,0,HOU,UTA,https://www.basketball-reference.com/boxscores/201410290UTA.html
24,24,29,10,2014,1,PHO,LAL,https://www.basketball-reference.com/boxscores/201410290PHO.html
25,25,29,10,2014,0,LAL,PHO,https://www.basketball-reference.com/boxscores/201410290PHO.html
26,26,29,10,2014,1,SAC,GSW,https://www.basketball-reference.com/boxscores/201410290SAC.html
27,27,29,10,2014,0,GSW,SAC,https://www.basketball-reference.com/boxscores/201410290SAC.html
28,28,29,10,2014,1,POR,OKC,https://www.basketball-reference.com/boxscores/201410290POR.html
29,29,29,10,2014,0,OKC,POR,https://www.basketball-reference.com/boxscores/201410290POR.html
30,30,30,10,2014,1,ORL,WAS,https://www.basketball-reference.com/boxscores/201410300ORL.html
31,31,30,10,2014,0,WAS,ORL,https://www.basketball-reference.com/boxscores/201410300ORL.html
32,32,30,10,2014,1,CLE,NYK,https://www.basketball-reference.com/boxscores/201410300CLE.html
33,33,30,10,2014,0,NYK,CLE,https://www.basketball-reference.com/boxscores/201410300CLE.html
34,34,30,10,2014,1,MIN,DET,https://www.basketball-reference.com/boxscores/201410300MIN.html
35,35,30,10,2014,0,DET,MIN,https://www.basketball-reference.com/boxscores/201410300MIN.html
36,36,30,10,2014,1,DAL,UTA,https://www.basketball-reference.com/boxscores/201410300DAL.html
37,37,30,10,2014,0,UTA,DAL,https://www.basketball-reference.com/boxscores/201410300DAL.html
38,38,30,10,2014,1,LAC,OKC,https://www.basketball-reference.com/boxscores/201410300LAC.html
39,39,30,10,2014,0,OKC,LAC,https://www.basketball-reference.com/boxscores/201410300LAC.html
40,40,31,10,2014,1,IND,MEM,https://www.basketball-reference.com/boxscores/201410310IND.html
41,41,31,10,2014,0,MEM,IND,https://www.basketball-reference.com/boxscores/201410310IND.html
42,42,31,10,2014,1,CHI,CLE,https://www.basketball-reference.com/boxscores/201410310CHI.html
43,43,31,10,2014,0,CLE,CHI,https://www.basketball-reference.com/boxscores/201410310CHI.html
44,44,31,10,2014,1,MIL,PHI,https://www.basketball-reference.com/boxscores/201410310MIL.html
45,45,31,10,2014,0,PHI,MIL,https://www.basketball-reference.com/boxscores/201410310MIL.html
46,46,31,10,2014,1,PHO,SAS,https://www.basketball-reference.com/boxscores/201410310PHO.html
47,47,31,10,2014,0,SAS,PHO,https://www.basketball-reference.com/boxscores/201410310PHO.html
48,48,31,10,2014,1,SAC,POR,https://www.basketball-reference.com/boxscores/201410310SAC.html
49,49,31,10,2014,0,POR,SAC,https://www.basketball-reference.com/boxscores/201410310SAC.html
50,50,31,10,2014,1,LAL,LAC,https://www.basketball-reference.com/boxscores/201410310LAL.html
51,51,31,10,2014,0,LAC,LAL,https://www.basketball-reference.com/boxscores/201410310LAL.html
52,52,1,11,2014,1,CHO,MEM,https://www.basketball-reference.com/boxscores/201411010CHO.html
53,53,1,11,2014,0,MEM,CHO,https://www.basketball-reference.com/boxscores/201411010CHO.html
54,54,1,11,2014,1,NOP,DAL,https://www.basketball-reference.com/boxscores/201411010NOP.html
55,55,1,11,2014,0,DAL,NOP,https://www.basketball-reference.com/boxscores/201411010NOP.html
56,56,1,11,2014,1,ORL,TOR,https://www.basketball-reference.com/boxscores/201411010ORL.html
57,57,1,11,2014,0,TOR,ORL,https://www.basketball-reference.com/boxscores/201411010ORL.html
58,58,1,11,2014,1,PHI,MIA,https://www.basketball-reference.com/boxscores/201411010PHI.html
59,59,1,11,2014,0,MIA,PHI,https://www.basketball-reference.com/boxscores/201411010PHI.html
60,60,1,11,2014,1,WAS,MIL,https://www.basketball-reference.com/boxscores/201411010WAS.html
61,61,1,11,2014,0,MIL,WAS,https://www.basketball-reference.com/boxscores/201411010WAS.html
62,62,1,11,2014,1,ATL,IND,https://www.basketball-reference.com/boxscores/201411010ATL.html
63,63,1,11,2014,0,IND,ATL,https://www.basketball-reference.com/boxscores/201411010ATL.html
64,64,1,11,2014,1,DET,BRK,https://www.basketball-reference.com/boxscores/201411010DET.html
65,65,1,11,2014,0,BRK,DET,https://www.basketball-reference.com/boxscores/201411010DET.html
66,66,1,11,2014,1,HOU,BOS,https://www.basketball-reference.com/boxscores/201411010HOU.html
67,67,1,11,2014,0,BOS,HOU,https://www.basketball-reference.com/boxscores/201411010HOU.html
68,68,1,11,2014,1,MIN,CHI,https://www.basketball-reference.com/boxscores/201411010MIN.html
69,69,1,11,2014,0,CHI,MIN,https://www.basketball-reference.com/boxscores/201411010MIN.html
70,70,1,11,2014,1,OKC,DEN,https://www.basketball-reference.com/boxscores/201411010OKC.html
71,71,1,11,2014,0,DEN,OKC,https://www.basketball-reference.com/boxscores/201411010OKC.html
72,72,1,11,2014,1,UTA,PHO,https://www.basketball-reference.com/boxscores/201411010UTA.html
73,73,1,11,2014,0,PHO,UTA,https://www.basketball-reference.com/boxscores/201411010UTA.html
74,74,1,11,2014,1,GSW,LAL,https://www.basketball-reference.com/boxscores/201411010GSW.html
75,75,1,11,2014,0,LAL,GSW,https://www.basketball-reference.com/boxscores/201411010GSW.html
76,76,2,11,2014,1,LAC,SAC,https://www.basketball-reference.com/boxscores/201411020LAC.html
77,77,2,11,2014,0,SAC,LAC,https://www.basketball-reference.com/boxscores/201411020LAC.html
78,78,2,11,2014,1,MIA,TOR,https://www.basketball-reference.com/boxscores/201411020MIA.html
79,79,2,11,2014,0,TOR,MIA,https://www.basketball-reference.com/boxscores/201411020MIA.html
80,80,2,11,2014,1,NYK,CHO,https://www.basketball-reference.com/boxscores/201411020NYK.html
81,81,2,11,2014,0,CHO,NYK,https://www.basketball-reference.com/boxscores/201411020NYK.html
82,82,2,11,2014,1,POR,GSW,https://www.basketball-reference.com/boxscores/201411020POR.html
83,83,2,11,2014,0,GSW,POR,https://www.basketball-reference.com/boxscores/201411020POR.html
84,84,3,11,2014,1,PHI,HOU,https://www.basketball-reference.com/boxscores/201411030PHI.html
85,85,3,11,2014,0,HOU,PHI,https://www.basketball-reference.com/boxscores/201411030PHI.html
86,86,3,11,2014,1,BRK,OKC,https://www.basketball-reference.com/boxscores/201411030BRK.html
87,87,3,11,2014,0,OKC,BRK,https://www.basketball-reference.com/boxscores/201411030BRK.html
88,88,3,11,2014,1,MEM,NOP,https://www.basketball-reference.com/boxscores/201411030MEM.html
89,89,3,11,2014,0,NOP,MEM,https://www.basketball-reference.com/boxscores/201411030MEM.html
90,90,3,11,2014,1,DAL,BOS,https://www.basketball-reference.com/boxscores/201411030DAL.html
91,91,3,11,2014,0,BOS,DAL,https://www.basketball-reference.com/boxscores/201411030DAL.html
92,92,3,11,2014,1,DEN,SAC,https://www.basketball-reference.com/boxscores/201411030DEN.html
93,93,3,11,2014,0,SAC,DEN,https://www.basketball-reference.com/boxscores/201411030DEN.html
94,94,3,11,2014,1,LAC,UTA,https://www.basketball-reference.com/boxscores/201411030LAC.html
95,95,3,11,2014,0,UTA,LAC,https://www.basketball-reference.com/boxscores/201411030LAC.html
96,96,4,11,2014,1,IND,MIL,https://www.basketball-reference.com/boxscores/201411040IND.html
97,97,4,11,2014,0,MIL,IND,https://www.basketball-reference.com/boxscores/201411040IND.html
98,98,4,11,2014,1,MIA,HOU,https://www.basketball-reference.com/boxscores/201411040MIA.html
99,99,4,11,2014,0,HOU,MIA,https://www.basketball-reference.com/boxscores/201411040MIA.html
100,100,4,11,2014,1,NYK,WAS,https://www.basketball-reference.com/boxscores/201411040NYK.html
101,101,4,11,2014,0,WAS,NYK,https://www.basketball-reference.com/boxscores/201411040NYK.html
102,102,4,11,2014,1,TOR,OKC,https://www.basketball-reference.com/boxscores/201411040TOR.html
103,103,4,11,2014,0,OKC,TOR,https://www.basketball-reference.com/boxscores/201411040TOR.html
104,104,4,11,2014,1,CHI,ORL,https://www.basketball-reference.com/boxscores/201411040CHI.html
105,105,4,11,2014,0,ORL,CHI,https://www.basketball-reference.com/boxscores/201411040CHI.html
106,106,4,11,2014,1,NOP,CHO,https://www.basketball-reference.com/boxscores/201411040NOP.html
107,107,4,11,2014,0,CHO,NOP,https://www.basketball-reference.com/boxscores/201411040NOP.html
108,108,4,11,2014,1,POR,CLE,https://www.basketball-reference.com/boxscores/201411040POR.html
109,109,4,11,2014,0,CLE,POR,https://www.basketball-reference.com/boxscores/201411040POR.html
110,110,4,11,2014,1,LAL,PHO,https://www.basketball-reference.com/boxscores/201411040LAL.html
111,111,4,11,2014,0,PHO,LAL,https://www.basketball-reference.com/boxscores/201411040LAL.html
112,112,5,11,2014,1,CHO,MIA,https://www.basketball-reference.com/boxscores/201411050CHO.html
113,113,5,11,2014,0,MIA,CHO,https://www.basketball-reference.com/boxscores/201411050CHO.html
114,114,5,11,2014,1,PHI,ORL,https://www.basketball-reference.com/boxscores/201411050PHI.html
115,115,5,11,2014,0,ORL,PHI,https://www.basketball-reference.com/boxscores/201411050PHI.html
