,id,day,month,year,home_team,team,opponent,url
66,66,2,11,2013,1,PHI,CHI,https://www.basketball-reference.com/boxscores/201311020PHI.html
67,67,2,11,2013,0,CHI,PHI,https://www.basketball-reference.com/boxscores/201311020PHI.html
68,68,2,11,2013,1,NOP,CHA,https://www.basketball-reference.com/boxscores/201311020NOP.html
69,69,2,11,2013,0,CHA,NOP,https://www.basketball-reference.com/boxscores/201311020NOP.html
70,70,2,11,2013,1,DAL,MEM,https://www.basketball-reference.com/boxscores/201311020DAL.html
71,71,2,11,2013,0,MEM,DAL,https://www.basketball-reference.com/boxscores/201311020DAL.html
72,72,2,11,2013,1,MIL,TOR,https://www.basketball-reference.com/boxscores/201311020MIL.html
73,73,2,11,2013,0,TOR,MIL,https://www.basketball-reference.com/boxscores/201311020MIL.html
74,74,2,11,2013,1,UTA,HOU,https://www.basketball-reference.com/boxscores/201311020UTA.html
75,75,2,11,2013,0,HOU,UTA,https://www.basketball-reference.com/boxscores/201311020UTA.html
76,76,2,11,2013,1,POR,SAS,https://www.basketball-reference.com/boxscores/201311020POR.html
77,77,2,11,2013,0,SAS,POR,https://www.basketball-reference.com/boxscores/201311020POR.html
78,78,2,11,2013,1,GSW,SAC,https://www.basketball-reference.com/boxscores/201311020GSW.html
79,79,2,11,2013,0,SAC,GSW,https://www.basketball-reference.com/boxscores/201311020GSW.html
80,80,3,11,2013,1,DET,BOS,https://www.basketball-reference.com/boxscores/201311030DET.html
81,81,3,11,2013,0,BOS,DET,https://www.basketball-reference.com/boxscores/201311030DET.html
82,82,3,11,2013,1,MIA,WAS,https://www.basketball-reference.com/boxscores/201311030MIA.html
83,83,3,11,2013,0,WAS,MIA,https://www.basketball-reference.com/boxscores/201311030MIA.html
84,84,3,11,2013,1,ORL,BRK,https://www.basketball-reference.com/boxscores/201311030ORL.html
85,85,3,11,2013,0,BRK,ORL,https://www.basketball-reference.com/boxscores/201311030ORL.html
86,86,3,11,2013,1,OKC,PHO,https://www.basketball-reference.com/boxscores/201311030OKC.html
87,87,3,11,2013,0,PHO,OKC,https://www.basketball-reference.com/boxscores/201311030OKC.html
88,88,3,11,2013,1,NYK,MIN,https://www.basketball-reference.com/boxscores/201311030NYK.html
89,89,3,11,2013,0,MIN,NYK,https://www.basketball-reference.com/boxscores/201311030NYK.html
90,90,3,11,2013,1,LAL,ATL,https://www.basketball-reference.com/boxscores/201311030LAL.html
91,91,3,11,2013,0,ATL,LAL,https://www.basketball-reference.com/boxscores/201311030LAL.html
92,92,4,11,2013,1,CLE,MIN,https://www.basketball-reference.com/boxscores/201311040CLE.html
93,93,4,11,2013,0,MIN,CLE,https://www.basketball-reference.com/boxscores/201311040CLE.html
94,94,4,11,2013,1,PHI,GSW,https://www.basketball-reference.com/boxscores/201311040PHI.html
95,95,4,11,2013,0,GSW,PHI,https://www.basketball-reference.com/boxscores/201311040PHI.html
96,96,4,11,2013,1,MEM,BOS,https://www.basketball-reference.com/boxscores/201311040MEM.html
97,97,4,11,2013,0,BOS,MEM,https://www.basketball-reference.com/boxscores/201311040MEM.html
98,98,4,11,2013,1,LAC,HOU,https://www.basketball-reference.com/boxscores/201311040LAC.html
