team,season,number,player,position,month,day,year,country,experience,height,weight
CLE,2010,18,Anthony Parker,SG,June,19,1975,us,6,6-6,215
CLE,2010,44,Leon Powe,SF,January,22,1984,us,3,6-8,240
CLE,2010,3,Sebastian Telfair,PG,June,9,1985,us,5,6-0,165
CLE,2010,17,Anderson Varejão,PF,September,28,1982,br,5,6-10,273
CLE,2010,13,Delonte West,SG,July,26,1983,us,5,6-4,180
CLE,2010,31,Jawad Williams,PG,February,19,1983,us,1,6-9,218
CLE,2010,2,Mo Williams,PG,December,19,1982,us,6,6-1,198
LAC,2010,2,Steve Blake,PG,February,26,1980,us,6,6-3,172
LAC,2010,6,Bobby Brown,PG,September,24,1984,us,1,6-2,175
LAC,2010,45,Rasual Butler,SF,May,23,1979,us,7,6-7,215
LAC,2010,23,Marcus Camby,PF,March,22,1974,us,13,6-11,220
LAC,2010,25,Mardy Collins,SG,August,4,1984,us,3,6-6,220
LAC,2010,44,JamesOn Curry,PG,January,7,1986,us,R,6-3,190
LAC,2010,1,Baron Davis,PG,April,13,1979,us,10,6-3,209
LAC,2010,31,Ricky Davis,SF,September,23,1979,us,11,6-6,195
LAC,2010,0,Drew Gooden,PF,September,24,1981,us,7,6-10,250
LAC,2010,10,Eric Gordon,SG,December,25,1988,us,1,6-3,215
LAC,2010,9,DeAndre Jordan,C,July,21,1988,us,1,6-11,265
LAC,2010,35,Chris Kaman,C,April,28,1982,us,6,7-0,265
LAC,2010,20,Steve Novak,SF,June,13,1983,us,3,6-10,225
LAC,2010,34,Travis Outlaw,SF,September,18,1984,us,6,6-9,210
LAC,2010,21,Kareem Rush,SG,October,30,1980,us,6,6-6,215
LAC,2010,8,Brian Skinner,PF,May,19,1976,us,11,6-9,255
LAC,2010,5,Craig Smith,PF,November,10,1983,us,3,6-7,250
LAC,2010,3,Sebastian Telfair,PG,June,9,1985,us,5,6-0,165
LAC,2010,12,Al Thornton,SF,December,7,1983,us,2,6-8,220
SAC,2010,8,Hilton Armstrong,C,November,11,1984,us,3,6-11,235
SAC,2010,40,Jon Brockman,PF,March,20,1987,us,R,6-7,255
SAC,2010,18,Omri Casspi,SF,June,22,1988,il,R,6-9,225
SAC,2010,15,Joey Dorsey,PF,December,16,1983,us,1,6-8,268
SAC,2010,13,Tyreke Evans,SG,September,19,1989,us,R,6-6,220
SAC,2010,32,Francisco García,SG,December,31,1981,do,4,6-7,195
SAC,2010,20,Donté Greene,SF,February,21,1988,de,1,6-11,226
SAC,2010,31,Spencer Hawes,C,April,28,1988,us,2,7-1,245
SAC,2010,24,Carl Landry,PF,September,19,1983,us,2,6-9,248
SAC,2010,23,Kevin Martin,SG,February,1,1983,us,5,6-7,199
SAC,2010,24,Desmond Mason,SF,October,11,1977,us,9,6-7,224
SAC,2010,42,Sean May,C,April,4,1984,us,3,6-9,266
SAC,2010,7,Dominic McGuire,SF,October,20,1985,us,2,6-9,220
SAC,2010,5,Andrés Nocioni,SF,November,30,1979,ar,5,6-7,225
SAC,2010,10,Sergio Rodríguez,PG,June,12,1986,es,3,6-3,176
SAC,2010,17,Garrett Temple,SG,May,8,1986,us,R,6-5,195
SAC,2010,9,Kenny Thomas,PF,July,25,1977,us,10,6-7,261
SAC,2010,34,Jason Thompson,C,July,21,1986,us,1,6-11,250
SAC,2010,3,Ime Udoka,SG,August,9,1977,us,5,6-6,215
SAC,2010,19,Beno Udrih,PG,July,5,1982,si,5,6-3,205
